# Longitude   Latitude
  241.9596    76.4812
  240.1007    76.0532
  238.5000    75.9000
  237.1451    76.1165
       nan        nan
  238.4621    74.4489
  239.8902    74.2414
  242.4444    74.1858
  243.4156    73.8961
  244.4892    73.4752
  243.2321    73.2229
  240.7800    72.5200
  239.5400    71.8200
  239.5400    71.3836
  236.9078    70.9016
  236.3800    71.3400
  234.0711    71.8687
  234.5000    72.2923
  235.1927    73.0226
  236.0600    73.6800
  235.0823    74.2927
  238.4621    74.4489
       nan        nan
  193.5322    60.3842
  194.3256    60.2936
  194.4208    59.9100
  193.8072    59.7544
  193.1517    59.9414
  192.5447    60.2131
  193.5322    60.3842
       nan        nan
  206.7713    57.9690
  207.4352    57.9014
  207.8589    57.5911
  206.9937    57.1158
  205.9949    56.7347
  205.4836    56.9927
  205.3290    57.4612
  206.2372    57.8166
  206.7713    57.9690
       nan        nan
  227.2900    54.0400
  228.2500    54.1200
  227.9505    52.9846
  228.8210    52.1804
  228.4222    52.1824
  227.8196    52.6397
  227.4500    53.1000
  226.9454    53.4115
  226.7603    53.8511
  226.8200    54.1700
  227.2900    54.0400
       nan        nan
  234.5850    49.9500
  235.0792    49.4753
  236.0775    49.0625
  236.4900    48.5100
  235.9871    48.3708
  234.3450    48.8250
  234.0450    49.1800
  233.1500    49.5300
  232.9700    49.8150
  231.9407    49.9950
  231.5554    50.5391
  231.6416    50.7706
  232.6914    50.5526
  233.3050    50.4009
  234.2450    50.2950
  234.5850    49.9500
       nan        nan
  188.2683    63.7825
  188.8856    63.5922
  189.5089    63.6950
  190.3175    63.4311
  191.3106    63.2975
  191.2281    63.1886
  190.4706    62.9769
  189.7094    63.1944
  189.3286    63.3758
  188.4469    63.3178
  188.2089    63.4058
  188.2683    63.7825
       nan        nan
  254.5077    79.3016
  256.4707    79.1653
  259.1748    78.8005
  259.9398    78.3248
  260.3291    77.9075
  258.6961    78.0190
  257.0502    78.3432
  254.8239    78.3803
  255.7896    78.6774
  254.5804    78.9183
  254.5077    79.3016
       nan        nan
   32.9470    35.3867
   33.6672    35.3732
   34.5765    35.6716
   33.9008    35.2458
   34.0049    34.9781
   32.9798    34.5719
   32.4903    34.7017
   32.2567    35.1032
   32.8025    35.1455
   32.9470    35.3867
       nan        nan
   26.2900    35.3000
   26.1650    35.0050
   24.7250    34.9200
   24.7350    35.0850
   23.5150    35.2800
   23.7000    35.7050
   24.2467    35.3680
   25.0250    35.4250
   25.7692    35.3540
   25.7450    35.1800
   26.2900    35.3000
       nan        nan
   49.5435   -12.4698
   49.8090   -12.8953
   50.0565   -13.5558
   50.2174   -14.7588
   50.4765   -15.2265
   50.3771   -15.7061
   50.2003   -16.0003
   49.8606   -15.4143
   49.6726   -15.7102
   49.8633   -16.4510
   49.7746   -16.8750
   49.4986   -17.1060
   49.4356   -17.9531
   49.0418   -19.1188
   48.5485   -20.4969
   47.9307   -22.3915
   47.5477   -23.7820
   47.0958   -24.9416
   46.2825   -25.1785
   45.4095   -25.6014
   44.8336   -25.3461
   44.0397   -24.9883
   43.7638   -24.4607
   43.6978   -23.5741
   43.3457   -22.7769
   43.2542   -22.0574
   43.4333   -21.3365
   43.8937   -21.1633
   43.8964   -20.8305
   44.3743   -20.0724
   44.4644   -19.4355
   44.2324   -18.9620
   44.0430   -18.3314
   43.9631   -17.4099
   44.3125   -16.8504
   44.4465   -16.2162
   44.9449   -16.1794
   45.5027   -15.9744
   45.8730   -15.7935
   46.3122   -15.7800
   46.8822   -15.2102
   47.7051   -14.5943
   48.0052   -14.0912
   47.8690   -13.6639
   48.2938   -13.7841
   48.8451   -13.0892
   48.8635   -12.4879
   49.1947   -12.0405
   49.5435   -12.4698
       nan        nan
  167.2168   -15.8918
  167.8449   -16.4663
  167.5152   -16.5978
  167.1800   -16.1600
  167.2168   -15.8918
       nan        nan
  166.7932   -15.6688
  166.6499   -15.3927
  166.6291   -14.6265
  167.1077   -14.9339
  167.2700   -15.7400
  167.0012   -15.6146
  166.7932   -15.6688
       nan        nan
  134.2101    -6.8952
  134.1128    -6.1425
  134.2903    -5.7831
  134.4996    -5.4450
  134.7270    -5.7376
  134.7246    -6.2144
  134.2101    -6.8952
       nan        nan
  311.3394   -78.0470
  311.8486   -78.0471
  313.3371   -77.8315
  314.8452   -78.0471
  316.0792   -78.4781
  316.5101   -79.0856
  316.6276   -79.5166
  316.6667   -80.0261
  315.1195   -80.3396
  313.4938   -80.5944
  311.6136   -80.8295
  309.5179   -81.0254
  307.1480   -80.9667
  305.8357   -80.6335
  306.0120   -80.2220
  308.1469   -79.9477
  309.0087   -79.6146
  309.6354   -79.1835
  310.0859   -78.8112
  310.6930   -78.4586
  311.3394   -78.0470
       nan        nan
  293.7100   -80.2558
  295.9623   -80.2949
  298.1168   -80.3929
  298.8610   -79.9814
  299.3899   -79.6287
  300.4279   -80.0402
  300.1342   -80.5497
  299.8403   -81.0003
  297.7446   -80.8632
  295.5119   -80.9219
  294.2583   -80.5888
  294.2583   -80.5497
  293.7100   -80.2558
       nan        nan
  286.0842   -71.2693
  286.7697   -71.1518
  287.9253   -71.1910
  288.2190   -70.6815
  288.2778   -70.3091
  288.2582   -69.5058
  288.8262   -69.0355
  289.7467   -68.8787
  290.2756   -69.2510
  290.5106   -69.6233
  290.9415   -70.0740
  291.2745   -70.5052
  291.5487   -70.9558
  291.6662   -71.4065
  291.4899   -71.7984
  291.2157   -72.1707
  290.0405   -72.3079
  288.9241   -72.5038
  287.6119   -72.4842
  288.1015   -72.0923
  286.9264   -72.2295
  285.8100   -72.3667
  285.0461   -72.0728
  284.9874   -71.6613
  286.0842   -71.2693
       nan        nan
  257.6693   -71.8942
  258.2960   -71.7178
  259.5691   -71.8550
  261.0185   -71.9333
  262.1153   -72.0705
  263.2121   -71.9530
  263.7997   -72.5212
  263.0162   -72.4429
  261.8019   -72.4820
  260.5680   -72.4429
  259.2165   -72.5016
  258.1981   -72.3057
  257.6693   -71.8942
       nan        nan
  237.3783   -73.6578
  237.5938   -73.3246
  238.7885   -73.5010
  240.0811   -73.6577
  241.2759   -73.4814
  240.7079   -73.8341
  239.7678   -74.0888
  238.3772   -74.0105
  237.3783   -73.6578
       nan        nan
  232.7169   -73.4618
  233.4415   -73.2462
  234.4404   -73.4814
  235.9681   -73.8733
  235.3805   -73.8341
  234.0878   -73.7361
  232.7169   -73.4618
       nan        nan
